verb,person,tense,form,form (JW),notes
bring (animate) (by carrying in hand/hands),Ip,futimp,èètì.ʔnoóhlv́v́ʔi,e²¹ti¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Ep,futimp,òòjì.ʔnoóhlv́v́ʔi,o²¹ji¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),2p,futimp,èèjì.ʔnoóhlv́v́ʔi,e²¹ji¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),3p,futimp,àànii.hnoóhlv́v́ʔi,a²¹ni²².hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",1s,pres,jiiy.ààthihnoóhíha,ji²²y.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",2s,pres,hiiy.ààthihnoóhíha,hi²²y.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",3s,pres,àà.thihnoóhíha,a²¹.thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",Id,pres,èèn.ààthihnoóhíha,e²¹n.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",Ed,pres,òòst.ààthihnoóhíha,o²¹st.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",2d,pres,èèst.ààthihnoóhíha,e²¹st.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",Ip,pres,èèt.ààthihnoóhíha,e²¹t.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",Ep,pres,òòj.ààthihnoóhíha,o²¹j.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",2p,pres,èèj.ààthihnoóhíha,e²¹j.a²¹thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",3p,pres,ành.thihnoóhíha,a¹nh.thi²hno²³hi³ha²,
"bring (animate) (under their own power, following)",1s,hab,jiiy.ààthihnoohíhóóʔi,ji²²y.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",2s,hab,hiiy.ààthihnoohíhóóʔi,hi²²y.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",3s,hab,àà.thihnoohíhóóʔi,a²¹.thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",Id,hab,èèn.ààthihnoohíhóóʔi,e²¹n.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",Ed,hab,òòst.ààthihnoohíhóóʔi,o²¹st.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",2d,hab,èèst.ààthihnoohíhóóʔi,e²¹st.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",Ip,hab,èèt.ààthihnoohíhóóʔi,e²¹t.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",Ep,hab,òòj.ààthihnoohíhóóʔi,o²¹j.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",2p,hab,èèj.ààthihnoohíhóóʔi,e²¹j.a²¹thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",3p,hab,ành.thihnoohíhóóʔi,a¹nh.thi²hno²²hi³ho³³ʔi²,
"bring (animate) (under their own power, following)",1s,rempast,jiiy.ààthihnoóhlv́v́ʔi,ji²²y.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",2s,rempast,hiiy.ààthihnoóhlv́v́ʔi,hi²²y.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",3s,rempast,ùù.thihnoóhlv́v́ʔi,u²¹.thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",Id,rempast,èèn.ààthihnoóhlv́v́ʔi,e²¹n.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",Ed,rempast,òòst.ààthihnoóhlv́v́ʔi,o²¹st.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",2d,rempast,èèst.ààthihnoóhlv́v́ʔi,e²¹st.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",Ip,rempast,èèt.ààthihnoóhlv́v́ʔi,e²¹t.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",Ep,rempast,òòj.ààthihnoóhlv́v́ʔi,o²¹j.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",2p,rempast,èèj.ààthihnoóhlv́v́ʔi,e²¹j.a²¹thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",3p,rempast,ùnh.thihnoóhlv́v́ʔi,u¹nh.thi²hno²³hlv³³ʔi²,
"bring (animate) (under their own power, following)",1s,reppast,jiiy.ààthihnoóhlééʔi,ji²²y.a²¹thi²hno²³hle³³ʔi²,
"bring (animate) (under their own power, following)",2s,reppast,hiiy.ààthihnoóhlééʔi,hi²²y.a²¹thi²hno²³hle³³ʔi²,
"bring (animate) (under their own power, following)",3s,reppast,ùù.thihnoóhlééʔi,u²¹.thi²hno²³hle³³ʔi²,
"bring (animate) (under their own power, following)",Id,reppast,èèn.ààthihnoóhlééʔi,e²¹n.a²¹thi²hno²³hle³³ʔi²,
"bring (animate) (under their own power, following)",Ed,reppast,òòst.ààthihnoóhlééʔi,o²¹st.a²¹thi²hno²³hle³³ʔi²,
